[Header]
Data File Name	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Output Date	10/26/2018
Output Time	7:44:16 PM

[File Information]
Type	Data File
Generated	10/26/2018 5:23:39 PM
Generated by	Admin
Modified	10/26/2018 5:40:26 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	10/26/2018 5:24:26 PM
Type	Unknown
Level	1
Sample Name	181026_mango_N3_split2
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Method File	C:\GCMSsolution\Data\Betty_Hong\SPME_Headspace_Split2_180717.qgm
Batch File	
Report Format File	
Tuning File	C:\GCMSsolution\System\Tune1\20181017.qgt

[File Description]


[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	4500
Start Time(min)	1.000
End Time(min)	15.997
Ret.Time	Absolute Intensity	Relative Intensity
1.637	7147491	10.59
1.640	7005202	10.37
1.643	6884533	10.20
1.647	6780265	10.04
1.650	6679598	9.89
1.653	6585133	9.75
1.657	6494696	9.62
1.660	6411303	9.50
1.663	6343629	9.40
1.667	6268005	9.28
1.670	6187204	9.16
1.673	6119992	9.06
1.677	6061766	8.98
1.680	6011418	8.90
1.683	5970748	8.84
1.687	5926419	8.78
1.690	5878943	8.71
1.693	5830208	8.63
1.697	5781269	8.56
1.700	5741473	8.50
1.703	5703021	8.45
1.707	5663890	8.39
1.710	5624877	8.33
1.713	5590657	8.28
1.717	5561594	8.24
1.720	5523489	8.18
1.723	5486754	8.13
1.727	5455527	8.08
1.730	5421869	8.03
1.733	5394774	7.99
1.737	5367738	7.95
1.740	5333588	7.90
1.743	5304693	7.86
1.747	5285496	7.83
1.750	5267232	7.80
1.753	5245475	7.77
1.757	5217796	7.73
1.760	5181695	7.67
1.763	5148887	7.63
1.767	5126531	7.59
1.770	5103032	7.56
1.773	5081276	7.53
1.777	5063339	7.50
1.780	5043121	7.47
1.783	5018125	7.43
1.787	4990108	7.39
1.790	4974371	7.37
1.793	4957275	7.34
1.797	4923306	7.29
1.800	4893871	7.25
1.803	4883686	7.23
1.807	4874274	7.22
1.810	4850823	7.18
1.813	4817615	7.13
1.817	4795198	7.10
1.820	4785504	7.09
1.823	4764014	7.06
1.827	4739257	7.02
1.830	4715147	6.98
1.833	4687904	6.94
1.837	4665836	6.91
1.840	4644939	6.88
1.843	4628577	6.86
1.847	4617256	6.84
1.850	4595962	6.81
1.853	4573804	6.77
1.857	4557131	6.75
1.860	4534660	6.72
1.863	4513320	6.68
1.867	4498646	6.66
1.870	4484197	6.64
1.873	4467150	6.62
1.877	4446901	6.59
1.880	4424723	6.55
1.883	4408271	6.53
1.887	4389395	6.50
1.890	4366074	6.47
1.893	4350102	6.44
1.897	4334847	6.42
1.900	4316499	6.39
1.903	4301214	6.37
1.907	4288849	6.35
1.910	4271464	6.33
1.913	4253694	6.30
1.917	4245621	6.29
1.920	4240620	6.28
1.923	4234907	6.27
1.927	4228623	6.26
1.930	4216674	6.24
1.933	4198969	6.22
1.937	4187821	6.20
1.940	4182518	6.19
1.943	4168302	6.17
1.947	4153684	6.15
1.950	4146897	6.14
1.953	4140115	6.13
1.957	4129232	6.12
1.960	4116827	6.10
1.963	4102925	6.08
1.967	4089001	6.06
1.970	4081770	6.05
1.973	4070227	6.03
1.977	4053624	6.00
1.980	4046382	5.99
1.983	4036114	5.98
1.987	4016556	5.95
1.990	3991068	5.91
1.993	3952586	5.85
1.997	3900847	5.78
2.000	3832102	5.68
2.003	3747236	5.55
2.007	3655972	5.41
2.010	3558987	5.27
2.013	3446955	5.11
2.017	3325954	4.93
2.020	3210048	4.75
2.023	3085546	4.57
2.027	2951761	4.37
2.030	2827818	4.19
2.033	2712197	4.02
2.037	2594721	3.84
2.040	2478542	3.67
2.043	2369146	3.51
2.047	2264563	3.35
2.050	2167404	3.21
2.053	2072735	3.07
2.057	1976456	2.93
2.060	1885275	2.79
2.063	1800621	2.67
2.067	1718559	2.55
2.070	1639914	2.43
2.073	1569104	2.32
2.077	1502796	2.23
2.080	1435971	2.13
2.083	1377356	2.04
2.087	1329578	1.97
2.090	1283115	1.90
2.093	1237231	1.83
2.097	1194904	1.77
2.100	1154924	1.71
2.103	1116797	1.65
2.107	1082357	1.60
2.110	1050395	1.56
2.113	1020902	1.51
2.117	994271	1.47
2.120	969831	1.44
2.123	949675	1.41
2.127	930376	1.38
2.130	909858	1.35
2.133	891444	1.32
2.137	874704	1.30
2.140	859775	1.27
2.143	846104	1.25
2.147	834871	1.24
2.150	826011	1.22
2.153	815502	1.21
2.157	806334	1.19
2.160	800200	1.19
2.163	794332	1.18
2.167	786922	1.17
2.170	777475	1.15
2.173	769954	1.14
2.177	767031	1.14
2.180	1028464	1.52
2.183	3717276	5.51
2.187	10795314	15.99
2.190	19657772	29.11
2.193	26910646	39.86
2.197	32222926	47.72
2.200	36162812	53.56
2.203	39058311	57.85
2.207	41381880	61.29
2.210	44569191	66.01
2.213	47037180	69.66
2.217	49363645	73.11
2.220	51339813	76.04
2.223	52813677	78.22
2.227	54028885	80.02
2.230	55234703	81.80
2.233	56326679	83.42
2.237	57229805	84.76
2.240	57973453	85.86
2.243	58639131	86.85
2.247	59236832	87.73
2.250	59764325	88.51
2.253	60304480	89.31
2.257	60875571	90.16
2.260	61420359	90.96
2.263	61943318	91.74
2.267	62427620	92.46
2.270	62851171	93.08
2.273	63361125	93.84
2.277	63988646	94.77
2.280	64551675	95.60
2.283	64995406	96.26
2.287	65392796	96.85
2.290	65863989	97.55
2.293	66446869	98.41
2.297	67069863	99.33
2.300	67521122	100.00
2.303	67017230	99.25
2.307	63383993	93.87
2.310	56105198	83.09
2.313	48925411	72.46
2.317	43415349	64.30
2.320	40524878	60.02
2.323	38264211	56.67
2.327	36557478	54.14
2.330	35246816	52.20
2.333	34141646	50.56
2.337	33141334	49.08
2.340	32175588	47.65
2.343	31221696	46.24
2.347	30314384	44.90
2.350	29490902	43.68
2.353	28746207	42.57
2.357	28029693	41.51
2.360	27303240	40.44
2.363	26544640	39.31
2.367	25905322	38.37
2.370	25359446	37.56
2.373	24756913	36.67
2.377	24159900	35.78
2.380	23594640	34.94
2.383	23099466	34.21
2.387	22650358	33.55
2.390	22211532	32.90
2.393	21831085	32.33
2.397	21478864	31.81
2.400	21030047	31.15
2.403	20510018	30.38
2.407	20027557	29.66
2.410	19618696	29.06
2.413	19260130	28.52
2.417	18940721	28.05
2.420	18663100	27.64
2.423	18379097	27.22
2.427	18060505	26.75
2.430	17764299	26.31
2.433	17506235	25.93
2.437	17265481	25.57
2.440	17020984	25.21
2.443	16749161	24.81
2.447	16465395	24.39
2.450	16197727	23.99
2.453	15900893	23.55
2.457	15556664	23.04
2.460	15258264	22.60
2.463	15010002	22.23
2.467	14755550	21.85
2.470	14478451	21.44
2.473	14155873	20.97
2.477	13793180	20.43
2.480	13432069	19.89
2.483	13125763	19.44
2.487	12867474	19.06
2.490	12613610	18.68
2.493	12340965	18.28
2.497	12063480	17.87
2.500	11802879	17.48
2.503	11534896	17.08
2.507	11271416	16.69
2.510	11016977	16.32
2.513	10790112	15.98
2.517	10605160	15.71
2.520	10406200	15.41
2.523	10238970	15.16
2.527	10095672	14.95
2.530	9850202	14.59
2.533	9572117	14.18
2.537	9371089	13.88
2.540	9212456	13.64
2.543	9045531	13.40
2.547	8874175	13.14
2.550	8737013	12.94
2.553	8630136	12.78
2.557	8501870	12.59
2.560	8318367	12.32
2.563	8131753	12.04
2.567	7971419	11.81
2.570	7806043	11.56
2.573	7664031	11.35
2.577	7552250	11.19
2.580	7444834	11.03
2.583	7354727	10.89
2.587	7259369	10.75
2.590	7120227	10.55
2.593	6973202	10.33
2.597	6853230	10.15
2.600	6744689	9.99
2.603	6626862	9.81
2.607	6498846	9.62
2.610	6390588	9.46
2.613	6301489	9.33
2.617	6190603	9.17
2.620	6077266	9.00
2.623	6024198	8.92
2.627	5982495	8.86
2.630	5879861	8.71
2.633	5751021	8.52
2.637	5643287	8.36
2.640	5558451	8.23
2.643	5464907	8.09
2.647	5375645	7.96
2.650	5304256	7.86
2.653	5244243	7.77
2.657	5202043	7.70
2.660	5139562	7.61
2.663	5049954	7.48
2.667	4954070	7.34
2.670	4862829	7.20
2.673	4797458	7.11
2.677	4757670	7.05
2.680	4715521	6.98
2.683	4649873	6.89
2.687	4578816	6.78
2.690	4511105	6.68
2.693	4435436	6.57
2.697	4374430	6.48
2.700	4337329	6.42
2.703	4295344	6.36
2.707	4241167	6.28
2.710	4192965	6.21
2.713	4155049	6.15
2.717	4108769	6.09
2.720	4037834	5.98
2.723	3961224	5.87
2.727	3909754	5.79
2.730	3881185	5.75
2.733	3849843	5.70
2.737	3820203	5.66
2.740	3792833	5.62
2.743	3740552	5.54
2.747	3683882	5.46
2.750	3644800	5.40
2.753	3613142	5.35
2.757	3578066	5.30
2.760	3534847	5.24
2.763	3486213	5.16
2.767	3435995	5.09
2.770	3402280	5.04
2.773	3389341	5.02
2.777	3376402	5.00
2.780	3349183	4.96
2.783	3309402	4.90
2.787	3261243	4.83
2.790	3214231	4.76
2.793	3183645	4.72
2.797	3155761	4.67
2.800	3123055	4.63
2.803	3092719	4.58
2.807	3064178	4.54
2.810	3039639	4.50
2.813	3013269	4.46
2.817	2983625	4.42
2.820	2956844	4.38
2.823	2935409	4.35
2.827	2907537	4.31
2.830	2871414	4.25
2.833	2842602	4.21
2.837	2825315	4.18
2.840	2809923	4.16
2.843	2779525	4.12
2.847	2744010	4.06
2.850	2720719	4.03
2.853	2695805	3.99
2.857	2664265	3.95
2.860	2637364	3.91
2.863	2616354	3.87
2.867	2592993	3.84
2.870	2570059	3.81
2.873	2564430	3.80
2.877	2561584	3.79
2.880	2541042	3.76
2.883	2516844	3.73
2.887	2495639	3.70
2.890	2474422	3.66
2.893	2454056	3.63
2.897	2432469	3.60
2.900	2409715	3.57
2.903	2383591	3.53
2.907	2359514	3.49
2.910	2344776	3.47
2.913	2329978	3.45
2.917	2320778	3.44
2.920	2323358	3.44
2.923	2320781	3.44
2.927	2302832	3.41
2.930	2270517	3.36
2.933	2239784	3.32
2.937	2213634	3.28
2.940	2187278	3.24
2.943	2168804	3.21
2.947	2158213	3.20
2.950	2155816	3.19
2.953	2158267	3.20
2.957	2157310	3.20
2.960	2145030	3.18
2.963	2122788	3.14
2.967	2100541	3.11
2.970	2082637	3.08
2.973	2059579	3.05
2.977	2030267	3.01
2.980	2008497	2.97
2.983	1990231	2.95
2.987	1961169	2.90
2.990	1921192	2.85
2.993	1868723	2.77
2.997	1795921	2.66
3.000	1705730	2.53
3.003	1610187	2.38
3.007	1510904	2.24
3.010	1409016	2.09
3.013	1310534	1.94
3.017	1220998	1.81
3.020	1142211	1.69
3.023	1072053	1.59
3.027	1014290	1.50
3.030	965289	1.43
3.033	918603	1.36
3.037	880408	1.30
3.040	849630	1.26
3.043	822857	1.22
3.047	800755	1.19
3.050	781360	1.16
3.053	764468	1.13
3.057	751220	1.11
3.060	739934	1.10
3.063	730136	1.08
3.067	723563	1.07
3.070	718571	1.06
3.073	712051	1.05
3.077	705414	1.04
3.080	701117	1.04
3.083	699479	1.04
3.087	698223	1.03
3.090	694197	1.03
3.093	692282	1.03
3.097	691200	1.02
3.100	686651	1.02
3.103	685663	1.02
3.107	684915	1.01
3.110	683550	1.01
3.113	683681	1.01
3.117	683979	1.01
3.120	682885	1.01
3.123	682081	1.01
3.127	683356	1.01
3.130	684759	1.01
3.133	683949	1.01
3.137	681919	1.01
3.140	682717	1.01
3.143	685599	1.02
3.147	685907	1.02
3.150	684823	1.01
3.153	686283	1.02
3.157	688766	1.02
3.160	688560	1.02
3.163	686379	1.02
3.167	686191	1.02
3.170	686235	1.02
3.173	684640	1.01
3.177	683263	1.01
3.180	684999	1.01
3.183	686304	1.02
3.187	688217	1.02
3.190	706087	1.05
3.193	749497	1.11
3.197	796475	1.18
3.200	826570	1.22
3.203	841153	1.25
3.207	844927	1.25
3.210	841589	1.25
3.213	835453	1.24
3.217	827496	1.23
3.220	819948	1.21
3.223	812846	1.20
3.227	806174	1.19
3.230	797669	1.18
3.233	790674	1.17
3.237	785297	1.16
3.240	778037	1.15
3.243	771606	1.14
3.247	767234	1.14
3.250	761802	1.13
3.253	754770	1.12
3.257	750779	1.11
3.260	750409	1.11
3.263	746831	1.11
3.267	742374	1.10
3.270	738318	1.09
3.273	736695	1.09
3.277	736501	1.09
3.280	731678	1.08
3.283	726776	1.08
3.287	725284	1.07
3.290	723171	1.07
3.293	721319	1.07
3.297	719278	1.07
3.300	715692	1.06
3.303	716416	1.06
3.307	717536	1.06
3.310	714838	1.06
3.313	713527	1.06
3.317	713535	1.06
3.320	713755	1.06
3.323	713691	1.06
3.327	714091	1.06
3.330	716971	1.06
3.333	718118	1.06
3.337	718181	1.06
3.340	720584	1.07
3.343	720954	1.07
3.347	720327	1.07
3.350	720874	1.07
3.353	720971	1.07
3.357	720701	1.07
3.360	721123	1.07
3.363	722810	1.07
3.367	726305	1.08
3.370	728191	1.08
3.373	726485	1.08
3.377	724439	1.07
3.380	721153	1.07
3.383	717608	1.06
3.387	715477	1.06
3.390	713917	1.06
3.393	711505	1.05
3.397	709917	1.05
3.400	708663	1.05
3.403	705791	1.05
3.407	704911	1.04
3.410	704810	1.04
3.413	702657	1.04
3.417	699927	1.04
3.420	699356	1.04
3.423	698507	1.03
3.427	697732	1.03
3.430	697281	1.03
3.433	695136	1.03
3.437	693131	1.03
3.440	692510	1.03
3.443	692204	1.03
3.447	692772	1.03
3.450	692298	1.03
3.453	690445	1.02
3.457	690384	1.02
3.460	690448	1.02
3.463	689398	1.02
3.467	688378	1.02
3.470	688450	1.02
3.473	690601	1.02
3.477	691224	1.02
3.480	687897	1.02
3.483	683812	1.01
3.487	681817	1.01
3.490	681848	1.01
3.493	683796	1.01
3.497	684015	1.01
3.500	683533	1.01
3.503	686835	1.02
3.507	730338	1.08
3.510	844438	1.25
3.513	983659	1.46
3.517	1088986	1.61
3.520	1144317	1.69
3.523	1158215	1.72
3.527	1157688	1.71
3.530	1171442	1.73
3.533	1221652	1.81
3.537	1325909	1.96
3.540	1491860	2.21
3.543	1710831	2.53
3.547	1984652	2.94
3.550	2298748	3.40
3.553	2621817	3.88
3.557	2950721	4.37
3.560	3247722	4.81
3.563	3431898	5.08
3.567	3479784	5.15
3.570	3447083	5.11
3.573	3400231	5.04
3.577	3377337	5.00
3.580	3414681	5.06
3.583	3572459	5.29
3.587	3884911	5.75
3.590	4332485	6.42
3.593	4874239	7.22
3.597	5421276	8.03
3.600	5875311	8.70
3.603	6152202	9.11
3.607	6179862	9.15
3.610	5994213	8.88
3.613	5636504	8.35
3.617	5106368	7.56
3.620	4510984	6.68
3.623	3967859	5.88
3.627	3494801	5.18
3.630	3086499	4.57
3.633	2746436	4.07
3.637	2471371	3.66
3.640	2249282	3.33
3.643	2067497	3.06
3.647	1918399	2.84
3.650	1793286	2.66
3.653	1685743	2.50
3.657	1597447	2.37
3.660	1528446	2.26
3.663	1473049	2.18
3.667	1426559	2.11
3.670	1386135	2.05
3.673	1346309	1.99
3.677	1309652	1.94
3.680	1279173	1.89
3.683	1249799	1.85
3.687	1224797	1.81
3.690	1203287	1.78
3.693	1180385	1.75
3.697	1158511	1.72
3.700	1137983	1.69
3.703	1120737	1.66
3.707	1110179	1.64
3.710	1101707	1.63
3.713	1089656	1.61
3.717	1075201	1.59
3.720	1058636	1.57
3.723	1041472	1.54
3.727	1027258	1.52
3.730	1017633	1.51
3.733	1008152	1.49
3.737	997798	1.48
3.740	992457	1.47
3.743	991676	1.47
3.747	987203	1.46
3.750	978150	1.45
3.753	967651	1.43
3.757	961114	1.42
3.760	955924	1.42
