Ret.Time	Absolute Intensity	Relative Intensity
4.867	35700	0.98
4.870	38321	1.05
4.873	39539	1.08
4.877	42050	1.15
4.880	45054	1.23
4.883	48955	1.34
4.887	54536	1.49
4.890	62796	1.72
4.893	72711	1.99
4.897	81029	2.22
4.900	84580	2.32
4.903	83260	2.28
4.907	78169	2.14
4.910	70828	1.94
4.913	62123	1.70
4.917	53703	1.47
4.920	47841	1.31
4.923	42534	1.17
4.927	39475	1.08
4.930	39201	1.07
4.933	39971	1.09
4.937	42350	1.16
4.940	45365	1.24
4.943	49065	1.34
4.947	53634	1.47
4.950	56964	1.56
4.953	57281	1.57
4.957	56728	1.55
4.960	53528	1.47
4.963	48504	1.33
4.967	44594	1.22
4.970	41779	1.14
4.973	39170	1.07
4.977	36982	1.01
4.980	35711	0.98
4.983	34923	0.96
4.987	33502	0.92
4.990	33272	0.91
4.993	33292	0.91
4.997	33457	0.92
5.000	33346	0.91
5.003	33203	0.91
5.007	33291	0.91
5.010	33304	0.91
5.013	33222	0.91
5.017	33220	0.91
5.020	33310	0.91
5.023	33331	0.91
5.027	33317	0.91
5.030	33275	0.91
5.033	33075	0.91
5.037	33049	0.91
5.040	33347	0.91
5.043	34746	0.95
5.047	37425	1.03
5.050	40629	1.11
5.053	43816	1.20
5.057	45711	1.25
5.060	46531	1.27
5.063	46793	1.28
5.067	45741	1.25
5.070	42810	1.17
5.073	40343	1.11
5.077	38681	1.06
5.080	37383	1.02
5.083	37043	1.01
5.087	36998	1.01
5.090	37232	1.02
5.093	38370	1.05
5.097	40493	1.11
5.100	42423	1.16
5.103	43623	1.19
5.107	44446	1.22
5.110	44761	1.23
5.113	44801	1.23
5.117	44775	1.23
5.120	44562	1.22
5.123	43712	1.20
5.127	40847	1.12
5.130	38574	1.06
5.133	37349	1.02
5.137	36741	1.01
5.140	35664	0.98
5.143	34131	0.93
5.147	33793	0.93
5.150	33840	0.93
5.153	33853	0.93
5.157	33794	0.93
5.160	33593	0.92
5.163	33173	0.91
5.167	33016	0.90
5.170	33039	0.90
5.173	33076	0.91
5.177	33361	0.91
5.180	33665	0.92
5.183	33619	0.92
5.187	33894	0.93
5.190	34454	0.94
5.193	34483	0.94
5.197	34754	0.95
5.200	35217	0.96
5.203	36064	0.99
5.207	39611	1.08
5.210	46751	1.28
5.213	60329	1.65
5.217	79133	2.17
5.220	100052	2.74
5.223	118950	3.26
5.227	130830	3.58
5.230	131588	3.60
5.233	124141	3.40
5.237	110238	3.02
5.240	94041	2.58
5.243	79130	2.17
5.247	66926	1.83
5.250	57465	1.57
5.253	51086	1.40
5.257	47548	1.30
5.260	45475	1.25
5.263	44936	1.23
5.267	45073	1.23
5.270	45599	1.25
5.273	46437	1.27
5.277	48723	1.33
5.280	51000	1.40
5.283	51071	1.40
5.287	50772	1.39
5.290	48802	1.34
5.293	46205	1.27
5.297	43479	1.19
5.300	40425	1.11
5.303	38392	1.05
5.307	37893	1.04
5.310	37784	1.03
5.313	38062	1.04
5.317	38000	1.04
5.320	36561	1.00
5.323	36105	0.99
5.327	36332	1.00
5.330	35950	0.98
5.333	35809	0.98
5.337	35681	0.98
5.340	35537	0.97
5.343	35522	0.97
5.347	35523	0.97
5.350	35620	0.98
5.353	35583	0.97
5.357	35542	0.97
5.360	35619	0.98
5.363	35644	0.98
5.367	35569	0.97
5.370	35523	0.97
5.373	35562	0.97
5.377	35878	0.98
5.380	37325	1.02
5.383	37861	1.04
5.387	39706	1.09
5.390	44148	1.21
5.393	48491	1.33
5.397	53361	1.46
5.400	58121	1.59
5.403	62046	1.70
5.407	63242	1.73
5.410	62461	1.71
5.413	58315	1.60
5.417	53417	1.46
5.420	48383	1.33
5.423	44545	1.22
5.427	41940	1.15
5.430	40105	1.10
5.433	37883	1.04
5.437	37585	1.03
5.440	37760	1.03
5.443	36903	1.01
5.447	35698	0.98
5.450	35492	0.97
5.453	35586	0.97
5.457	35597	0.98
5.460	35505	0.97
5.463	36122	0.99
5.467	36895	1.01
5.470	36745	1.01
5.473	36747	1.01
5.477	38086	1.04
5.480	39789	1.09
5.483	40171	1.10
5.487	40731	1.12
5.490	41155	1.13
5.493	41276	1.13
5.497	41136	1.13
5.500	40712	1.12
5.503	40654	1.11
5.507	41127	1.13
5.510	41562	1.14
5.513	41936	1.15
5.517	42325	1.16
5.520	42031	1.15
5.523	41409	1.13
5.527	41075	1.13
5.530	41048	1.12
5.533	41196	1.13
5.537	41096	1.13
5.540	40058	1.10
5.543	39647	1.09
5.547	39808	1.09
5.550	39851	1.09
5.553	39854	1.09
5.557	39853	1.09
5.560	39761	1.09
5.563	39366	1.08
5.567	39347	1.08
5.570	39933	1.09
5.573	40238	1.10
5.577	40165	1.10
5.580	39891	1.09
5.583	39509	1.08
5.587	39402	1.08
5.590	39278	1.08
5.593	39225	1.07
5.597	39501	1.08
5.600	39634	1.09
5.603	39436	1.08
5.607	39394	1.08
5.610	39436	1.08
5.613	39847	1.09
5.617	40060	1.10
5.620	40271	1.10
5.623	41285	1.13
5.627	42926	1.18
5.630	43270	1.19
5.633	43115	1.18
5.637	42546	1.17
5.640	41216	1.13
5.643	39711	1.09
5.647	39196	1.07
5.650	38881	1.06
5.653	38208	1.05
5.657	37857	1.04
5.660	38516	1.05
5.663	39148	1.07
5.667	39219	1.07
5.670	39088	1.07
5.673	38640	1.06
5.677	38030	1.04
5.680	37593	1.03
5.683	37848	1.04
5.687	37623	1.03
5.690	35160	0.96
5.693	34582	0.95
5.697	34504	0.95
5.700	34550	0.95
5.703	34679	0.95
5.707	35016	0.96
5.710	35022	0.96
5.713	34851	0.95
5.717	34861	0.95
5.720	34593	0.95
5.723	34545	0.95
5.727	34580	0.95
5.730	34553	0.95
5.733	34564	0.95
5.737	34489	0.94
5.740	34436	0.94
5.743	34381	0.94
5.747	34345	0.94
5.750	34574	0.95
5.753	35083	0.96
5.757	37380	1.02
5.760	40607	1.11
5.763	44553	1.22
5.767	48415	1.33
5.770	52439	1.44
5.773	55458	1.52
5.777	55440	1.52
5.780	52293	1.43
5.783	47827	1.31
5.787	43729	1.20
5.790	39517	1.08
5.793	35375	0.97
5.797	33835	0.93
5.800	32584	0.89
5.803	32092	0.88
5.807	31832	0.87
5.810	31968	0.88
5.813	31970	0.88
5.817	31469	0.86
5.820	30826	0.84
5.823	30794	0.84
5.827	31480	0.86
5.830	31782	0.87
5.833	31620	0.87
5.837	31688	0.87
5.840	31498	0.86
5.843	30923	0.85
5.847	29719	0.81
5.850	29265	0.80
5.853	29254	0.80
5.857	29540	0.81
5.860	30092	0.82
5.863	30854	0.85
5.867	32212	0.88
5.870	35741	0.98
5.873	41044	1.12
5.877	48986	1.34
5.880	57482	1.57
5.883	64649	1.77
5.887	70545	1.93
5.890	73334	2.01
5.893	73075	2.00
5.897	69841	1.91
5.900	62981	1.73
5.903	55090	1.51
5.907	49013	1.34
5.910	44135	1.21
5.913	40790	1.12
5.917	37812	1.04
5.920	35942	0.98
5.923	35464	0.97
5.927	35344	0.97
5.930	35551	0.97
5.933	37676	1.03
5.937	41173	1.13
5.940	44875	1.23
5.943	48955	1.34
5.947	53149	1.46
5.950	54757	1.50
5.953	54406	1.49
5.957	51443	1.41
5.960	47605	1.30
5.963	44053	1.21
5.967	40821	1.12
5.970	37473	1.03
5.973	35616	0.98
5.977	34176	0.94
5.980	32838	0.90
5.983	32158	0.88
5.987	31359	0.86
5.990	30661	0.84
5.993	30383	0.83
5.997	30314	0.83
6.000	30391	0.83
6.003	30687	0.84
6.007	31439	0.86
6.010	31914	0.87
6.013	32677	0.90
6.017	34184	0.94
6.020	35548	0.97
6.023	36467	1.00
6.027	36843	1.01
6.030	37014	1.01
6.033	36606	1.00
6.037	35283	0.97
6.040	33736	0.92
6.043	32893	0.90
6.047	32661	0.89
6.050	32306	0.88
6.053	32026	0.88
6.057	31752	0.87
6.060	31702	0.87
6.063	31940	0.87
6.067	32017	0.88
6.070	31818	0.87
6.073	31144	0.85
6.077	30059	0.82
6.080	29874	0.82
6.083	31244	0.86
6.087	32059	0.88
6.090	32517	0.89
6.093	33366	0.91
6.097	34558	0.95
6.100	35070	0.96
6.103	35203	0.96
6.107	34622	0.95
6.110	33782	0.93
6.113	32504	0.89
6.117	32022	0.88
6.120	31330	0.86
6.123	30598	0.84
6.127	29832	0.82
6.130	29245	0.80
6.133	29073	0.80
6.137	28894	0.79
6.140	28321	0.78
6.143	27937	0.77
6.147	28099	0.77
6.150	27851	0.76
6.153	27201	0.75
6.157	26861	0.74
6.160	26623	0.73
6.163	26685	0.73
6.167	26786	0.73
6.170	26728	0.73
6.173	27077	0.74
6.177	27645	0.76
6.180	28194	0.77
6.183	28402	0.78
6.187	27982	0.77
6.190	27791	0.76
6.193	28077	0.77
6.197	28123	0.77
6.200	28299	0.78
6.203	28968	0.79
6.207	29007	0.79
6.210	28613	0.78
6.213	28156	0.77
6.217	27921	0.76
6.220	27887	0.76
6.223	27451	0.75
6.227	26812	0.73
6.230	26365	0.72
6.233	25987	0.71
6.237	26129	0.72
6.240	26589	0.73
6.243	25910	0.71
6.247	25058	0.69
6.250	24766	0.68
6.253	25194	0.69
6.257	25706	0.70
6.260	25367	0.69
6.263	24530	0.67
6.267	24475	0.67
6.270	24778	0.68
6.273	24858	0.68
6.277	25661	0.70
6.280	26641	0.73
6.283	27644	0.76
6.287	28499	0.78
6.290	30229	0.83
6.293	31446	0.86
6.297	31865	0.87
6.300	31990	0.88
6.303	31746	0.87
6.307	31653	0.87
6.310	31690	0.87
6.313	32374	0.89
6.317	34757	0.95
6.320	37819	1.04
6.323	39582	1.08
6.327	39878	1.09
6.330	39058	1.07
6.333	37734	1.03
6.337	35279	0.97
6.340	33176	0.91
6.343	31877	0.87
6.347	31651	0.87
6.350	31516	0.86
6.353	31796	0.87
6.357	33200	0.91
6.360	34097	0.93
6.363	34455	0.94
6.367	34248	0.94
6.370	33474	0.92
6.373	31876	0.87
6.377	31043	0.85
6.380	29020	0.79
6.383	27870	0.76
6.387	26993	0.74
6.390	25629	0.70
6.393	25379	0.70
6.397	25432	0.70
6.400	25383	0.70
6.403	25493	0.70
6.407	26661	0.73
6.410	28426	0.78
6.413	31247	0.86
6.417	33832	0.93
6.420	37813	1.04
6.423	42138	1.15
6.427	43823	1.20
6.430	43881	1.20
6.433	42865	1.17
6.437	40261	1.10
6.440	38019	1.04
6.443	36345	1.00
6.447	36338	1.00
6.450	38559	1.06
6.453	43416	1.19
6.457	48005	1.31
6.460	52980	1.45
6.463	57197	1.57
6.467	57932	1.59
6.470	55484	1.52
6.473	50047	1.37
6.477	43635	1.20
6.480	38055	1.04
6.483	33993	0.93
6.487	31190	0.85
6.490	28553	0.78
6.493	27570	0.76
6.497	27305	0.75
6.500	27146	0.74
6.503	27261	0.75
6.507	27526	0.75
6.510	27527	0.75
6.513	27492	0.75
6.517	27755	0.76
6.520	27680	0.76
6.523	27532	0.75
6.527	27603	0.76
6.530	27822	0.76
6.533	27613	0.76
6.537	27354	0.75
6.540	27496	0.75
6.543	27962	0.77
6.547	28638	0.78
6.550	28885	0.79
6.553	28185	0.77
6.557	27772	0.76
6.560	27450	0.75
6.563	27121	0.74
6.567	27100	0.74
6.570	27970	0.77
6.573	31143	0.85
6.577	35553	0.97
6.580	41336	1.13
6.583	47450	1.30
6.587	51926	1.42
6.590	54056	1.48
6.593	54276	1.49
6.597	52261	1.43
6.600	47289	1.30
6.603	40896	1.12
6.607	35485	0.97
6.610	32243	0.88
6.613	31003	0.85
6.617	28730	0.79
6.620	27658	0.76
6.623	27367	0.75
6.627	27662	0.76
6.630	27920	0.76
6.633	27672	0.76
6.637	27231	0.75
6.640	27131	0.74
6.643	26804	0.73
6.647	26851	0.74
6.650	27196	0.74
6.653	27401	0.75
6.657	26879	0.74
6.660	26112	0.72
6.663	26197	0.72
6.667	26057	0.71
6.670	25810	0.71
6.673	26072	0.71
6.677	25960	0.71
6.680	25642	0.70
6.683	25828	0.71
6.687	25898	0.71
6.690	26026	0.71
6.693	26458	0.72
6.697	26993	0.74
6.700	27479	0.75
6.703	27501	0.75
6.707	26668	0.73
6.710	25837	0.71
6.713	25515	0.70
6.717	25185	0.69
6.720	25048	0.69
6.723	25194	0.69
6.727	24913	0.68
6.730	24866	0.68
6.733	24500	0.67
6.737	23473	0.64
6.740	23236	0.64
6.743	22947	0.63
6.747	22865	0.63
6.750	23055	0.63
6.753	23252	0.64
6.757	23447	0.64
6.760	24481	0.67
6.763	25652	0.70
6.767	27252	0.75
6.770	29057	0.80
6.773	31031	0.85
6.777	32327	0.89
6.780	32407	0.89
6.783	32039	0.88
6.787	31063	0.85
6.790	29755	0.82
6.793	28113	0.77
6.797	26499	0.73
6.800	25908	0.71
6.803	25689	0.70
6.807	25095	0.69
6.810	24527	0.67
6.813	24805	0.68
6.817	25210	0.69
6.820	25481	0.70
6.823	25256	0.69
6.827	25138	0.69
6.830	25124	0.69
6.833	24785	0.68
6.837	24415	0.67
6.840	24498	0.67
6.843	24813	0.68
6.847	25219	0.69
6.850	25984	0.71
6.853	26355	0.72
6.857	26084	0.71
6.860	25710	0.70
6.863	25579	0.70
6.867	25471	0.70
6.870	25140	0.69
6.873	24566	0.67
6.877	24475	0.67
6.880	24835	0.68
6.883	25722	0.70
6.887	26724	0.73
6.890	28621	0.78
6.893	30280	0.83
6.897	31094	0.85
6.900	31533	0.86
6.903	31924	0.87
6.907	31995	0.88
6.910	32073	0.88
6.913	31992	0.88
6.917	32018	0.88
6.920	32079	0.88
6.923	31544	0.86
6.927	30587	0.84
6.930	30355	0.83
6.933	29763	0.82
6.937	29034	0.80
6.940	28776	0.79
6.943	28343	0.78
6.947	27056	0.74
6.950	26195	0.72
6.953	25978	0.71
6.957	25386	0.70
6.960	25435	0.70
6.963	26108	0.72
6.967	26492	0.73
6.970	28098	0.77
6.973	30168	0.83
6.977	32629	0.89
6.980	36747	1.01
6.983	37563	1.03
6.987	37570	1.03
6.990	37531	1.03
6.993	36855	1.01
6.997	33787	0.93
7.000	30658	0.84
7.003	27514	0.75
7.007	25561	0.70
7.010	24964	0.68
7.013	24324	0.67
7.017	24115	0.66
7.020	24384	0.67
7.023	24889	0.68
7.027	25290	0.69
7.030	25436	0.70
7.033	25385	0.70
7.037	25448	0.70
7.040	25547	0.70
7.043	26632	0.73
7.047	28238	0.77
7.050	28728	0.79
7.053	29262	0.80
7.057	30454	0.83
7.060	31672	0.87
7.063	32000	0.88
7.067	32255	0.88
7.070	32107	0.88
7.073	31326	0.86
7.077	30092	0.82
7.080	28781	0.79
7.083	27954	0.77
7.087	27243	0.75
7.090	26843	0.74
7.093	26481	0.73
7.097	25900	0.71
7.100	25193	0.69
7.103	24509	0.67
7.107	24633	0.67
7.110	25699	0.70
7.113	27922	0.76
7.117	33039	0.90
7.120	39922	1.09
7.123	47680	1.31
7.127	56216	1.54
7.130	63193	1.73
7.133	67635	1.85
7.137	67635	1.85
7.140	62475	1.71
7.143	54210	1.48
7.147	46482	1.27
7.150	39437	1.08
7.153	33785	0.93
7.157	31241	0.86
7.160	28675	0.79
7.163	28184	0.77
7.167	28348	0.78
7.170	28450	0.78
7.173	27924	0.76
7.177	26562	0.73
7.180	26369	0.72
7.183	26126	0.72
7.187	26082	0.71
7.190	25672	0.70
7.193	23148	0.63
7.197	22341	0.61
7.200	22360	0.61
7.203	22708	0.62
7.207	22752	0.62
7.210	22570	0.62
7.213	22354	0.61
7.217	22327	0.61
7.220	22187	0.61
7.223	22277	0.61
7.227	22455	0.62
7.230	22350	0.61
7.233	22350	0.61
7.237	22458	0.62
7.240	21958	0.60
7.243	21154	0.58
7.247	21169	0.58
7.250	21274	0.58
7.253	21410	0.59
7.257	21635	0.59
7.260	21186	0.58
7.263	21056	0.58
7.267	20743	0.57
7.270	20534	0.56
7.273	20520	0.56
7.277	20415	0.56
7.280	20362	0.56
7.283	20601	0.56
7.287	20672	0.57
7.290	20705	0.57
7.293	20536	0.56
7.297	20668	0.57
7.300	21335	0.58
7.303	21335	0.58
7.307	21168	0.58
7.310	21158	0.58
7.313	20933	0.57
7.317	20712	0.57
7.320	21116	0.58
7.323	22274	0.61
7.327	22884	0.63
7.330	22766	0.62
7.333	22230	0.61
7.337	22167	0.61
7.340	22505	0.62
7.343	22962	0.63
7.347	24404	0.67
7.350	25734	0.70
7.353	26503	0.73
7.357	27938	0.77
7.360	29629	0.81
7.363	30482	0.83
7.367	30627	0.84
7.370	30423	0.83
7.373	29484	0.81
7.377	28085	0.77
7.380	26517	0.73
7.383	24460	0.67
7.387	22848	0.63
7.390	22487	0.62
7.393	22082	0.60
7.397	21682	0.59
7.400	21516	0.59
7.403	21628	0.59
7.407	21585	0.59
7.410	21563	0.59
7.413	21694	0.59
7.417	22327	0.61
7.420	23996	0.66
7.423	25320	0.69
7.427	26618	0.73
7.430	27415	0.75
7.433	27888	0.76
7.437	27728	0.76
7.440	26239	0.72
7.443	24697	0.68
7.447	23559	0.65
7.450	22567	0.62
7.453	22047	0.60
7.457	22057	0.60
7.460	22326	0.61
7.463	22111	0.61
7.467	21893	0.60
7.470	21851	0.60
7.473	22063	0.60
7.477	22000	0.60
7.480	21958	0.60
7.483	21908	0.60
7.487	21746	0.60
7.490	21830	0.60
7.493	21982	0.60
7.497	22046	0.60
7.500	21907	0.60
7.503	21444	0.59
7.507	21225	0.58
7.510	21383	0.59
7.513	21284	0.58
7.517	21119	0.58
7.520	21044	0.58
7.523	21151	0.58
7.527	21034	0.58
7.530	21026	0.58
7.533	21276	0.58
7.537	21402	0.59
7.540	21321	0.58
7.543	21297	0.58
7.547	21448	0.59
7.550	21780	0.60
7.553	21795	0.60
7.557	21330	0.58
7.560	20812	0.57
7.563	21165	0.58
7.567	21944	0.60
7.570	23317	0.64
7.573	24519	0.67
7.577	25288	0.69
7.580	25447	0.70
7.583	26101	0.71
7.587	26517	0.73
7.590	26103	0.71
7.593	25103	0.69
7.597	24119	0.66
7.600	23244	0.64
7.603	22944	0.63
7.607	22781	0.62
7.610	22895	0.63
7.613	23124	0.63
7.617	23878	0.65
7.620	24304	0.67
7.623	24315	0.67
7.627	24185	0.66
7.630	24193	0.66
7.633	24000	0.66
7.637	23313	0.64
7.640	22079	0.60
7.643	21359	0.59
7.647	21372	0.59
7.650	21631	0.59
7.653	21240	0.58
7.657	20739	0.57
7.660	21124	0.58
7.663	21818	0.60
7.667	22059	0.60
7.670	21713	0.59
7.673	21767	0.60
7.677	23287	0.64
7.680	24058	0.66
7.683	24201	0.66
7.687	24294	0.67
7.690	24382	0.67
7.693	24236	0.66
7.697	23881	0.65
7.700	23115	0.63
7.703	21803	0.60
7.707	20661	0.57
7.710	19644	0.54
7.713	19619	0.54
7.717	20087	0.55
7.720	20241	0.55
7.723	20354	0.56
7.727	20756	0.57
7.730	21177	0.58
7.733	21515	0.59
7.737	21906	0.60
7.740	22733	0.62
7.743	23028	0.63
7.747	22860	0.63
7.750	23084	0.63
7.753	23513	0.64
7.757	23986	0.66
7.760	24939	0.68
7.763	26607	0.73
7.767	29323	0.80
7.770	30828	0.84
7.773	31683	0.87
7.777	32056	0.88
7.780	31920	0.87
7.783	31304	0.86
7.787	30640	0.84
7.790	30246	0.83
7.793	30675	0.84
7.797	31681	0.87
7.800	32124	0.88
7.803	32243	0.88
7.807	31994	0.88
7.810	30621	0.84
7.813	29300	0.80
7.817	27279	0.75
7.820	26327	0.72
7.823	25813	0.71
7.827	25239	0.69
7.830	25057	0.69
7.833	25379	0.70
7.837	25781	0.71
7.840	25794	0.71
7.843	25225	0.69
7.847	24458	0.67
7.850	24560	0.67
7.853	24731	0.68
7.857	24773	0.68
7.860	24742	0.68
7.863	25032	0.69
7.867	25438	0.70
7.870	25942	0.71
7.873	25931	0.71
7.877	25774	0.71
7.880	25901	0.71
7.883	26079	0.71
7.887	26008	0.71
7.890	25918	0.71
7.893	25708	0.70
7.897	25048	0.69
7.900	24602	0.67
7.903	24144	0.66
7.907	22695	0.62
7.910	22069	0.60
7.913	21752	0.60
7.917	21615	0.59
7.920	21606	0.59
7.923	21681	0.59
7.927	21683	0.59
7.930	21829	0.60
7.933	21975	0.60
7.937	22092	0.61
7.940	22413	0.61
7.943	23225	0.64
7.947	24428	0.67
7.950	24892	0.68
7.953	24440	0.67
7.957	23034	0.63
7.960	22139	0.61
7.963	21877	0.60
7.967	21788	0.60
7.970	21744	0.60
7.973	21893	0.60
7.977	22145	0.61
7.980	22287	0.61
7.983	21874	0.60
7.987	21579	0.59
7.990	21338	0.58
7.993	21393	0.59
7.997	21117	0.58
8.000	21099	0.58
8.003	21577	0.59
8.007	21841	0.60
8.010	21822	0.60
8.013	21991	0.60
8.017	21854	0.60
8.020	21802	0.60
8.023	22113	0.61
8.027	21961	0.60
8.030	21469	0.59
8.033	21178	0.58
8.037	21278	0.58
8.040	21264	0.58
8.043	20743	0.57
8.047	20535	0.56
8.050	20731	0.57
8.053	20913	0.57
8.057	21214	0.58
8.060	21318	0.58
8.063	21400	0.59
8.067	21786	0.60
8.070	21641	0.59
8.073	20899	0.57
8.077	20588	0.56
8.080	20629	0.57
8.083	20722	0.57
8.087	20999	0.58
8.090	20993	0.58
8.093	20792	0.57
8.097	20509	0.56
8.100	20521	0.56
8.103	20389	0.56
8.107	20019	0.55
8.110	19847	0.54
8.113	20200	0.55
8.117	20571	0.56
8.120	20371	0.56
8.123	20169	0.55
8.127	20379	0.56
8.130	20702	0.57
8.133	20971	0.57
8.137	21123	0.58
8.140	21183	0.58
8.143	21518	0.59
8.147	22671	0.62
8.150	23773	0.65
8.153	24168	0.66
8.157	24738	0.68
8.160	25401	0.70
8.163	25829	0.71
8.167	25791	0.71
8.170	25505	0.70
8.173	25038	0.69
8.177	24231	0.66
8.180	23702	0.65
8.183	22964	0.63
8.187	21630	0.59
8.190	21114	0.58
8.193	20896	0.57
8.197	21119	0.58
8.200	21392	0.59
8.203	21443	0.59
8.207	21393	0.59
8.210	21264	0.58
8.213	21315	0.58
8.217	21561	0.59
8.220	21640	0.59
8.223	21468	0.59
8.227	21599	0.59
8.230	22139	0.61
8.233	23136	0.63
8.237	24505	0.67
8.240	25269	0.69
8.243	25060	0.69
8.247	24981	0.68
8.250	25050	0.69
8.253	24377	0.67
8.257	23518	0.64
8.260	23074	0.63
8.263	22934	0.63
8.267	23164	0.63
8.270	23791	0.65
8.273	25109	0.69
8.277	26557	0.73
8.280	28186	0.77
8.283	29323	0.80
8.287	29684	0.81
8.290	29492	0.81
8.293	28425	0.78
8.297	27138	0.74
8.300	25589	0.70
8.303	24758	0.68
8.307	24021	0.66
8.310	23145	0.63
8.313	22546	0.62
8.317	22419	0.61
8.320	22342	0.61
8.323	22162	0.61
8.327	22382	0.61
8.330	23055	0.63
8.333	24857	0.68
8.337	26621	0.73
8.340	28726	0.79
8.343	31388	0.86
8.347	35317	0.97
8.350	37415	1.02
8.353	37523	1.03
8.357	37263	1.02
8.360	35612	0.98
8.363	33951	0.93
8.367	31019	0.85
8.370	28276	0.77
8.373	26923	0.74
8.377	26198	0.72
8.380	26101	0.71
8.383	26319	0.72
8.387	26470	0.73
8.390	26450	0.72
8.393	26615	0.73
8.397	26566	0.73
8.400	26555	0.73
8.403	26570	0.73
8.407	26261	0.72
8.410	26512	0.73
8.413	26542	0.73
8.417	26277	0.72
8.420	26255	0.72
8.423	26064	0.71
8.427	25481	0.70
8.430	24975	0.68
8.433	24612	0.67
8.437	24408	0.67
8.440	24081	0.66
8.443	24130	0.66
8.447	24244	0.66
8.450	24227	0.66
8.453	24289	0.67
8.457	24838	0.68
8.460	26041	0.71
8.463	26933	0.74
8.467	29302	0.80
8.470	30762	0.84
8.473	31127	0.85
8.477	31235	0.86
8.480	31135	0.85
8.483	30619	0.84
8.487	28794	0.79
8.490	26964	0.74
8.493	26340	0.72
8.497	25887	0.71
8.500	25418	0.70
8.503	24580	0.67
8.507	24146	0.66
8.510	24068	0.66
8.513	24156	0.66
8.517	24123	0.66
8.520	24183	0.66
8.523	24425	0.67
8.527	24880	0.68
8.530	25805	0.71
8.533	26259	0.72
8.537	26409	0.72
8.540	26332	0.72
8.543	26394	0.72
8.547	26470	0.73
8.550	26350	0.72
8.553	25975	0.71
8.557	26228	0.72
8.560	26565	0.73
8.563	26547	0.73
8.567	26530	0.73
8.570	26442	0.72
8.573	26341	0.72
8.577	26305	0.72
8.580	25988	0.71
8.583	25566	0.70
8.587	25713	0.70
8.590	26233	0.72
8.593	26384	0.72
8.597	26356	0.72
8.600	26613	0.73
8.603	26731	0.73
8.607	26400	0.72
8.610	25948	0.71
8.613	25353	0.69
8.617	23934	0.66
8.620	23272	0.64
8.623	23162	0.63
8.627	23274	0.64
8.630	23239	0.64
8.633	23361	0.64
8.637	23690	0.65
8.640	23586	0.65
8.643	23538	0.64
8.647	23988	0.66
8.650	24440	0.67
8.653	24672	0.68
8.657	25435	0.70
8.660	25669	0.70
8.663	25273	0.69
8.667	24257	0.66
8.670	23575	0.65
8.673	23394	0.64
8.677	23385	0.64
8.680	23314	0.64
8.683	23349	0.64
8.687	23184	0.64
8.690	22493	0.62
8.693	23132	0.63
8.697	23410	0.64
8.700	23528	0.64
8.703	23354	0.64
8.707	23403	0.64
8.710	23554	0.65
8.713	23523	0.64
8.717	23514	0.64
8.720	23591	0.65
8.723	23856	0.65
8.727	23868	0.65
8.730	23526	0.64
8.733	22610	0.62
8.737	22423	0.61
8.740	22264	0.61
8.743	22397	0.61
8.747	22489	0.62
8.750	22724	0.62
8.753	22746	0.62
8.757	22576	0.62
8.760	23011	0.63
8.763	23220	0.64
8.767	23288	0.64
8.770	23678	0.65
8.773	24055	0.66
8.777	24483	0.67
8.780	24782	0.68
8.783	24753	0.68
8.787	25029	0.69
8.790	26189	0.72
8.793	27306	0.75
8.797	27430	0.75
8.800	27486	0.75
8.803	27646	0.76
8.807	27615	0.76
8.810	26788	0.73
8.813	25674	0.70
8.817	25456	0.70
8.820	25105	0.69
8.823	24288	0.67
8.827	23729	0.65
8.830	23445	0.64
8.833	23565	0.65
8.837	24019	0.66
8.840	24171	0.66
8.843	24379	0.67
8.847	24726	0.68
8.850	24909	0.68
8.853	24723	0.68
8.857	24310	0.67
8.860	24050	0.66
8.863	24172	0.66
8.867	24724	0.68
8.870	25239	0.69
8.873	25135	0.69
8.877	25027	0.69
8.880	24982	0.68
8.883	24145	0.66
8.887	22737	0.62
8.890	22552	0.62
8.893	23166	0.63
8.897	23367	0.64
8.900	23646	0.65
8.903	23934	0.66
8.907	24041	0.66
8.910	24132	0.66
8.913	24016	0.66
8.917	23930	0.66
8.920	23947	0.66
8.923	23868	0.65
8.927	24109	0.66
8.930	24119	0.66
8.933	23231	0.64
8.937	22373	0.61
8.940	22027	0.60
8.943	21878	0.60
8.947	21899	0.60
8.950	21986	0.60
8.953	22086	0.60
8.957	22064	0.60
8.960	22134	0.61
8.963	22396	0.61
8.967	22296	0.61
8.970	22095	0.61
8.973	22180	0.61
8.977	22379	0.61
8.980	22605	0.62
8.983	23163	0.63
8.987	24328	0.67
8.990	27260	0.75
8.993	31224	0.86
8.997	37264	1.02
9.000	44661	1.22
9.003	50865	1.39
9.007	54872	1.50
9.010	55823	1.53
9.013	54891	1.50
9.017	50857	1.39
9.020	44995	1.23
9.023	39508	1.08
9.027	34584	0.95
9.030	30965	0.85
9.033	28513	0.78
9.037	27615	0.76
9.040	27400	0.75
9.043	27376	0.75
9.047	27165	0.74
9.050	25927	0.71
9.053	24305	0.67
9.057	22990	0.63
9.060	22325	0.61
9.063	21933	0.60
9.067	21890	0.60
9.070	21924	0.60
9.073	21496	0.59
9.077	21001	0.58
9.080	21060	0.58
9.083	20983	0.57
9.087	21098	0.58
9.090	20732	0.57
9.093	20453	0.56
9.097	20363	0.56
