Ret.Time	Absolute Intensity	Relative Intensity
1.603	876065	19.31
1.607	868804	19.15
1.610	861672	18.99
1.613	856092	18.87
1.617	850477	18.75
1.620	844386	18.61
1.623	840519	18.53
1.627	837482	18.46
1.630	832121	18.34
1.633	827226	18.23
1.637	824302	18.17
1.640	818233	18.03
1.643	810020	17.85
1.647	805962	17.76
1.650	804465	17.73
1.653	800017	17.63
1.657	794341	17.51
1.660	788600	17.38
1.663	785037	17.30
1.667	782829	17.25
1.670	776508	17.11
1.673	769741	16.97
1.677	767975	16.93
1.680	767677	16.92
1.683	762869	16.81
1.687	756412	16.67
1.690	750717	16.55
1.693	745892	16.44
1.697	742890	16.37
1.700	740174	16.31
1.703	735343	16.21
1.707	729102	16.07
1.710	722971	15.93
1.713	718255	15.83
1.717	714921	15.76
1.720	711681	15.69
1.723	706832	15.58
1.727	702267	15.48
1.730	701126	15.45
1.733	697461	15.37
1.737	691140	15.23
1.740	687937	15.16
1.743	684425	15.09
1.747	677846	14.94
1.750	673193	14.84
1.753	670501	14.78
1.757	667745	14.72
1.760	664415	14.64
1.763	661176	14.57
1.767	658060	14.50
1.770	655082	14.44
1.773	650670	14.34
1.777	646472	14.25
1.780	643924	14.19
1.783	640197	14.11
1.787	635854	14.01
1.790	631577	13.92
1.793	627183	13.82
1.797	624898	13.77
1.800	624873	13.77
1.803	622214	13.71
1.807	617879	13.62
1.810	614478	13.54
1.813	611147	13.47
1.817	608176	13.40
1.820	606553	13.37
1.823	603926	13.31
1.827	600030	13.23
1.830	595560	13.13
1.833	592489	13.06
1.837	590065	13.01
1.840	586152	12.92
1.843	581499	12.82
1.847	578898	12.76
1.850	577226	12.72
1.853	575560	12.69
1.857	573863	12.65
1.860	570662	12.58
1.863	565416	12.46
1.867	560965	12.36
1.870	560303	12.35
1.873	558623	12.31
1.877	555621	12.25
1.880	553377	12.20
1.883	552038	12.17
1.887	551725	12.16
1.890	552198	12.17
1.893	553087	12.19
1.897	553965	12.21
1.900	555745	12.25
1.903	553869	12.21
1.907	549378	12.11
1.910	544474	12.00
1.913	536929	11.83
1.917	529710	11.68
1.920	525375	11.58
1.923	520916	11.48
1.927	517639	11.41
1.930	515145	11.35
1.933	510380	11.25
1.937	506890	11.17
1.940	504696	11.12
1.943	500154	11.02
1.947	496944	10.95
1.950	494913	10.91
1.953	491127	10.82
1.957	488331	10.76
1.960	486099	10.71
1.963	483754	10.66
1.967	481161	10.61
1.970	477817	10.53
1.973	475700	10.48
1.977	474929	10.47
1.980	472203	10.41
1.983	469087	10.34
1.987	466755	10.29
1.990	465524	10.26
1.993	462592	10.20
1.997	459460	10.13
2.000	456268	10.06
2.003	452850	9.98
2.007	450549	9.93
